fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,area,rank,percent
72,Puerto Rico,911.79474,3153898,3197890,3285874,3329861,3725789,-0.01376,-43992,-0.1535,3459,1,0.815005159
11,District of Columbia,11735.91803,715891,707109,689545,680761,601723,0.01242,8782,0.18974,61,2,0.184994841
